account_name,nsbi_sector,deal_type,nsbi_financial_contribution,city,nsbi_county,postal_code,fiscal_year,longitude,latitude,coordinates
Bend Beauty Inc.,Life Sciences,Export Growth Program,9500,halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639,POINT (-63.577291 44.639639)
Beta Glucan Company of Canada Inc.,Life Sciences,Export Growth Program,2150,halifax,Halifax Regional Municipality,B3H4N3,2018 - 2019,-63.578083,44.629216,POINT (-63.578083 44.629216)
BlockCrushr Inc.,ICT (includes Digital Media),Export Growth Program,9200,halifax,Halifax Regional Municipality,B3L2W4,2018 - 2019,-63.608409,44.653374,POINT (-63.608409 44.653374)
Boondoc Technologies Inc (The Rounds),ICT (includes Digital Media),Export Growth Program,18220,halifax,Halifax Regional Municipality,B3K4X5,2018 - 2019,-63.611268,44.662185,POINT (-63.611268 44.662185)
C Squared Project Management Services Ltd.,Engineering & Professional,Export Growth Program,5275,bedford,Halifax Regional Municipality,B4A0B4,2018 - 2019,-63.681376,44.710595,POINT (-63.681376 44.710595)
Copernicus Labs Inc,ICT (includes Digital Media),Export Growth Program,13201,halifax,Halifax Regional Municipality,B3J3P1,2018 - 2019,-63.616146,44.674409,POINT (-63.616146 44.674409)
Eosense Inc,Energy,Export Growth Program,5460,dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
ITO Seafoods Ltd,Fish & Seafood Processing,Export Growth Program,7400,halifax,Halifax Regional Municipality,B3J3R3,2018 - 2019,-63.56899455,44.64269727,POINT (-63.56899455 44.64269727)
Momentum IT Group,ICT (includes Digital Media),Export Growth Program,10566,halifax,Halifax Regional Municipality,B3J1Y2,2018 - 2019,-63.570421,44.64012,POINT (-63.570421 44.64012)
Prism Tradeshow Products Inc.,Advanced Manufacturing,Export Growth Program,14625,dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Trip Ninja,ICT (includes Digital Media),Export Growth Program,3750,halifax,Halifax Regional Municipality,B3J2V1,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
Uplift Content Inc,ICT (includes Digital Media),Export Growth Program,5750,dartmouth,Halifax Regional Municipality,B2Y2G6,2018 - 2019,-63.553251,44.661883,POINT (-63.553251 44.661883)
Verb Interactive Inc.,Business Services,Export Growth Program,14970,halifax,Halifax Regional Municipality,B3J2A2,2018 - 2019,-63.573726,44.646512,POINT (-63.573726 44.646512)
Wired Flare Inc,Business Services,Export Growth Program,9412,dartmouth,Halifax Regional Municipality,B2V1N4,2018 - 2019,-63.456788,44.681162,POINT (-63.456788 44.681162)
Ocean Entertainment Ltd.,Film Production,Export Growth Program,15000,halifax,Halifax Regional Municipality,B3K4T9,2018 - 2019,-63.593521,44.650817,POINT (-63.593521 44.650817)
Pisces Research Project Management Inc,Business Services,Export Growth Program,2065,halifax,Halifax Regional Municipality,B3K2L9,2018 - 2019,-63.603725,44.669255,POINT (-63.603725 44.669255)
Survival Systems Ltd,Oceans Technology,Export Growth Program,7390,dartmouth,Halifax Regional Municipality,B2Y4W6,2018 - 2019,-63.539046,44.6562,POINT (-63.539046 44.6562)
Dartmouth Metals and Bottle Limited,Advanced Manufacturing,Innovation Rebate Program,596613,dartmouth,Halifax Regional Municipality,B3B1H9,2018 - 2019,-63.607766,44.702958,POINT (-63.607766 44.702958)
Benjamin Bridge Vineyards,Agri-food,Innovation Rebate Program,1317375,wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
John Ross & Sons Ltd.,Advanced Manufacturing,Innovation Rebate Program,1070296,halifax,Halifax Regional Municipality,B3S1B3,2018 - 2019,-63.663711,44.637971,POINT (-63.663711 44.637971)
Maritime Labels & Packaging,Advanced Manufacturing,Innovation Rebate Program,540335,bedford,Halifax Regional Municipality,B4B1G7,2018 - 2019,-63.707864,44.725286,POINT (-63.707864 44.725286)
Agropur Cooperative,Agri-food,Innovation Rebate Program,1843776,truro,Colchester,B2N6W9,2018 - 2019,-63.28926512,45.34069389,POINT (-63.28926512 45.34069389)
Kilo Communications Inc,ICT (includes Digital Media),P&I Voucher,15000,halifax,Halifax Regional Municipality,B3K1N1,2018 - 2019,-63.592032,44.656647,POINT (-63.592032 44.656647)
