deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-Chaleur Bay 16-VR2-5025-2006,5025,ManmadePlatform,ASF_ASF-Chaleur Bay 16,VEMCO,VR2
ASF-Chaleur Bay 17-VR2-5025-2005,5025,ManmadePlatform,ASF_ASF-Chaleur Bay 17,VEMCO,VR2
ASF-Chaleur Bay 17-VR2-5027-2006,5027,ManmadePlatform,ASF_ASF-Chaleur Bay 17,VEMCO,VR2
ASF-Chaleur Bay 18-VR2-5028-2006,5028,ManmadePlatform,ASF_ASF-Chaleur Bay 18,VEMCO,VR2
ASF-Chaleur Bay 19-VR2-5027-2005,5027,ManmadePlatform,ASF_ASF-Chaleur Bay 19,VEMCO,VR2
ASF-Chaleur Bay 19-VR2-5029-2006,5029,ManmadePlatform,ASF_ASF-Chaleur Bay 19,VEMCO,VR2
ASF-Chaleur Bay 1-VR2-4316-2006,4316,ManmadePlatform,ASF_ASF-Chaleur Bay 1,VEMCO,VR2
ASF-Chaleur Bay 1-VR2-5009-2005,5009,ManmadePlatform,ASF_ASF-Chaleur Bay 1,VEMCO,VR2
ASF-Chaleur Bay 20-VR2-5028-2005,5028,ManmadePlatform,ASF_ASF-Chaleur Bay 20,VEMCO,VR2
ASF-Chaleur Bay 20-VR2-5030-2006,5030,ManmadePlatform,ASF_ASF-Chaleur Bay 20,VEMCO,VR2
ASF-Chaleur Bay 21-VR2-5029-2005,5029,ManmadePlatform,ASF_ASF-Chaleur Bay 21,VEMCO,VR2
ASF-Chaleur Bay 21-VR2-5031-2006,5031,ManmadePlatform,ASF_ASF-Chaleur Bay 21,VEMCO,VR2
ASF-Chaleur Bay 22-VR2-5030-2005,5030,ManmadePlatform,ASF_ASF-Chaleur Bay 22,VEMCO,VR2
ASF-Chaleur Bay 22-VR2-5032-2006,5032,ManmadePlatform,ASF_ASF-Chaleur Bay 22,VEMCO,VR2
ASF-Chaleur Bay 23-VR2-5031-2005,5031,ManmadePlatform,ASF_ASF-Chaleur Bay 23,VEMCO,VR2
ASF-Chaleur Bay 23-VR2-5033-2006,5033,ManmadePlatform,ASF_ASF-Chaleur Bay 23,VEMCO,VR2
ASF-Chaleur Bay 24-VR2-5032-2005,5032,ManmadePlatform,ASF_ASF-Chaleur Bay 24,VEMCO,VR2
ASF-Chaleur Bay 24-VR2-5034-2006,5034,ManmadePlatform,ASF_ASF-Chaleur Bay 24,VEMCO,VR2
ASF-Chaleur Bay 25-VR2-5033-2005,5033,ManmadePlatform,ASF_ASF-Chaleur Bay 25,VEMCO,VR2
ASF-Chaleur Bay 25-VR2-5035-2006,5035,ManmadePlatform,ASF_ASF-Chaleur Bay 25,VEMCO,VR2
ASF-Chaleur Bay 26-VR2-5034-2005,5034,ManmadePlatform,ASF_ASF-Chaleur Bay 26,VEMCO,VR2
ASF-Chaleur Bay 26-VR2-5036-2006,5036,ManmadePlatform,ASF_ASF-Chaleur Bay 26,VEMCO,VR2
